"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI.x","SI_LONG.x","YEAR","DATE","SI_LONG_360","REGION_NEW","SI_LATI.y","SI_LONG.y","z","dist_km"
"126",126,"CARIB","PRICO","PRICO",18.3816357,-67.486641,2014,"7/27/2014",292.513359,"PRICO",18.3915748596191,-67.4713745117188,1.14,1.95575340203979
"127",127,"CARIB","PRICO","PRICO",18.3816395,-67.487114,2014,"7/27/2014",292.512886,"PRICO",18.3915748596191,-67.4713745117188,1.14,1.99692081529934
"128",128,"CARIB","PRICO","PRICO",18.3784546,-67.484303,2014,"7/27/2014",292.515697,"PRICO",18.3915748596191,-67.4713745117188,1.14,1.99960217738655
"129",129,"CARIB","PRICO","PRICO",18.3779991,-67.483833,2014,"7/27/2014",292.516167,"PRICO",18.3915748596191,-67.4713745117188,1.14,2.00398342658661
"130",130,"CARIB","PRICO","PRICO",18.3756154,-67.258153,2014,"9/6/2014",292.741847,"PRICO",18.3915748596191,-67.2630615234375,1.12,1.85072305921259
"131",131,"CARIB","PRICO","PRICO",18.351301,-67.266913,2014,"6/10/2014",292.733087,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.435151241065685
"132",132,"CARIB","PRICO","PRICO",18.3513096,-67.267859,2014,"8/17/2014",292.732141,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.530088106152363
"133",133,"CARIB","PRICO","PRICO",18.4945032,-66.399207,2014,"9/8/2014",293.600793,"PRICO",18.516544342041,-66.3881683349609,1.19,2.71626092949998
"134",134,"CARIB","PRICO","PRICO",18.4945162,-66.400153,2014,"9/8/2014",293.599847,"PRICO",18.516544342041,-66.3881683349609,1.19,2.75929038832284
"135",135,"CARIB","PRICO","PRICO",18.4940453,-66.398741,2014,"9/8/2014",293.601259,"PRICO",18.516544342041,-66.3881683349609,1.19,2.74200386572467
"136",136,"CARIB","PRICO","PRICO",18.4935091,-66.392596,2014,"9/8/2014",293.607404,"PRICO",18.516544342041,-66.3881683349609,1.19,2.60652100384527
"137",137,"CARIB","PRICO","PRICO",18.4886546,-66.433842,2014,"9/8/2014",293.566158,"PRICO",18.4748878479004,-66.4298248291016,1.17,1.59011403263784
"138",138,"CARIB","PRICO","PRICO",18.4840879,-66.332167,2014,"9/8/2014",293.667833,"PRICO",18.4748878479004,-66.3048400878906,1.21,3.06154183815996
"139",139,"CARIB","PRICO","PRICO",18.3768714,-65.560352,2014,"8/26/2014",294.439648,"PRICO",18.3915748596191,-65.554931640625,1.24,1.73404747001109
"140",140,"CARIB","PRICO","PRICO",18.3709901,-65.559523,2014,"8/26/2014",294.440477,"PRICO",18.3915748596191,-65.554931640625,1.24,2.34225489510105
"141",141,"CARIB","PRICO","PRICO",18.3638466,-65.538871,2014,"8/26/2014",294.461129,"PRICO",18.3499164581299,-65.554931640625,1.23,2.29871136980192
"142",142,"CARIB","PRICO","PRICO",18.3603967,-65.498298,2014,"8/26/2014",294.501702,"PRICO",18.3499164581299,-65.5132675170898,1.2,1.96534919221065
"143",143,"CARIB","PRICO","PRICO",18.3577759,-65.52765,2014,"8/26/2014",294.47235,"PRICO",18.3499164581299,-65.5132675170898,1.2,1.75347248876664
"144",144,"CARIB","PRICO","PRICO",18.3525196,-65.487116,2014,"8/26/2014",294.512884,"PRICO",18.3499164581299,-65.4716033935547,1.19,1.66445459261014
"145",145,"CARIB","PRICO","PRICO",18.3535338,-65.567431,2014,"8/26/2014",294.432569,"PRICO",18.3499164581299,-65.554931640625,1.23,1.3806832404906
"146",146,"CARIB","PRICO","PRICO",18.3422584,-65.618217,2014,"8/26/2014",294.381783,"PRICO",18.3499164581299,-65.5965881347656,1.25,2.43916043650363
"147",147,"CARIB","PRICO","PRICO",18.2764887,-65.474953,2014,"8/25/2014",294.525047,"PRICO",18.2666034698486,-65.4716033935547,1.24,1.15598083802234
"148",148,"CARIB","PRICO","PRICO",18.2617152,-65.606083,2014,"8/28/2014",294.393917,"PRICO",18.2666034698486,-65.5965881347656,1.27,1.14173319055144
"149",149,"CARIB","PRICO","PRICO",18.2529185,-65.518407,2014,"8/29/2014",294.481593,"PRICO",18.2666034698486,-65.5132675170898,1.27,1.61739028599573
"150",150,"CARIB","PRICO","PRICO",18.3495414,-67.272134,2014,"8/17/2014",292.727866,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.95949927176953
"151",151,"CARIB","PRICO","PRICO",18.3490338,-67.265989,2014,"8/17/2014",292.734011,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.324546398977435
"152",152,"CARIB","PRICO","PRICO",18.3490725,-67.270246,2014,"8/28/2014",292.729754,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.764898546883442
"153",153,"CARIB","PRICO","PRICO",18.34727,-67.270737,2014,"8/17/2014",292.729263,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.862841356146472
"154",154,"CARIB","PRICO","PRICO",18.3459063,-67.269805,2014,"6/10/2014",292.730195,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.840810495701689
"155",155,"CARIB","PRICO","PRICO",18.3453814,-67.261768,2014,"8/28/2014",292.738232,"PRICO",18.3499164581299,-67.2630615234375,1.14,0.523014004151464
"156",156,"CARIB","PRICO","PRICO",18.3145269,-67.246941,2014,"9/6/2014",292.753059,"PRICO",18.3082599639893,-67.2630615234375,1.13,1.84096290771823
"157",157,"CARIB","PRICO","PRICO",18.3009627,-67.245659,2014,"9/6/2014",292.754341,"PRICO",18.3082599639893,-67.2630615234375,1.13,2.01061984174428
"158",158,"CARIB","PRICO","PRICO",18.2978051,-67.246163,2014,"9/6/2014",292.753837,"PRICO",18.3082599639893,-67.2630615234375,1.13,2.13170730423636
