"","n_cells_model","n_cells_null","n_cells_oasis","model_null_ratio","lrr","null_percentage","model_percentage"
"122",35,19,129,1.84210526315789,0.610909082322973,14.7286821705426,27.1317829457364
"123",39,25,129,1.56,0.444685821261446,19.3798449612403,30.2325581395349
"124",39,23,129,1.69565217391304,0.528067430200497,17.8294573643411,30.2325581395349
"125",30,22,129,1.36363636363636,0.310154928303839,17.0542635658915,23.2558139534884
"126",34,20,129,1.7,0.53062825106217,15.5038759689922,26.3565891472868
"127",35,26,129,1.34615384615385,0.297251523467932,20.1550387596899,27.1317829457364
"128",41,18,129,2.27777777777778,0.823200308808143,13.953488372093,31.7829457364341
"129",33,18,129,1.83333333333333,0.606135803570315,13.953488372093,25.5813953488372
"130",42,22,129,1.90909090909091,0.646627164925052,17.0542635658915,32.5581395348837
"131",37,18,129,2.05555555555556,0.72054615474806,13.953488372093,28.6821705426357
"132",26,19,129,1.36842105263158,0.313657558855042,14.7286821705426,20.1550387596899
"133",39,24,129,1.625,0.485507815781701,18.6046511627907,30.2325581395349
"134",35,21,129,1.66666666666667,0.510825623765991,16.2790697674419,27.1317829457364
"135",30,19,129,1.57894736842105,0.456758402495715,14.7286821705426,23.2558139534884
"136",37,23,129,1.60869565217391,0.475423696715075,17.8294573643411,28.6821705426357
"137",32,17,129,1.88235294117647,0.63252255874351,13.1782945736434,24.8062015503876
"138",37,16,129,2.3125,0.838329190404443,12.4031007751938,28.6821705426357
"139",42,20,129,2.1,0.741937344729377,15.5038759689922,32.5581395348837
