"","oasis_cells","oasis_cells_sum","scale","oasis_cell_percentage"
"442",18,89,"Cross-basin",20.2247191011236
"443",21,89,"Cross-basin",23.5955056179775
"444",34,89,"Cross-basin",38.2022471910112
"445",32,89,"Cross-basin",35.9550561797753
"446",29,89,"Cross-basin",32.5842696629214
"447",29,89,"Cross-basin",32.5842696629214
"448",13,89,"Cross-basin",14.6067415730337
"449",19,89,"Cross-basin",21.3483146067416
"450",36,89,"Cross-basin",40.4494382022472
"451",15,89,"Cross-basin",16.8539325842697
"452",37,89,"Cross-basin",41.5730337078652
"453",27,89,"Cross-basin",30.3370786516854
"454",17,89,"Cross-basin",19.1011235955056
"455",9,89,"Cross-basin",10.1123595505618
"456",18,89,"Cross-basin",20.2247191011236
"457",18,89,"Cross-basin",20.2247191011236
"458",24,89,"Cross-basin",26.9662921348315
"459",23,89,"Cross-basin",25.8426966292135
"460",32,89,"Cross-basin",35.9550561797753
"461",27,89,"Cross-basin",30.3370786516854
"462",30,89,"Cross-basin",33.7078651685393
"463",19,89,"Cross-basin",21.3483146067416
"464",34,89,"Cross-basin",38.2022471910112
"465",29,89,"Cross-basin",32.5842696629214
"466",35,89,"Cross-basin",39.3258426966292
"467",25,89,"Cross-basin",28.0898876404494
"468",20,89,"Cross-basin",22.4719101123595
"469",24,89,"Cross-basin",26.9662921348315
"470",13,89,"Cross-basin",14.6067415730337
"471",25,89,"Cross-basin",28.0898876404494
"472",8,89,"Cross-basin",8.98876404494382
"473",21,89,"Cross-basin",23.5955056179775
"474",18,89,"Cross-basin",20.2247191011236
"475",37,89,"Cross-basin",41.5730337078652
"476",31,89,"Cross-basin",34.8314606741573
"477",27,89,"Cross-basin",30.3370786516854
"478",21,89,"Cross-basin",23.5955056179775
"479",26,89,"Cross-basin",29.2134831460674
"480",18,89,"Cross-basin",20.2247191011236
"481",25,89,"Cross-basin",28.0898876404494
"482",34,89,"Cross-basin",38.2022471910112
"483",40,89,"Cross-basin",44.9438202247191
"484",30,89,"Cross-basin",33.7078651685393
"485",13,89,"Cross-basin",14.6067415730337
"486",4,89,"Cross-basin",4.49438202247191
"487",28,89,"Cross-basin",31.4606741573034
"488",28,89,"Cross-basin",31.4606741573034
"489",33,89,"Cross-basin",37.0786516853933
"490",41,89,"Cross-basin",46.0674157303371
"491",41,89,"Cross-basin",46.0674157303371
"492",29,89,"Cross-basin",32.5842696629214
"493",23,89,"Cross-basin",25.8426966292135
"494",23,89,"Cross-basin",25.8426966292135
"495",29,89,"Cross-basin",32.5842696629214
"496",17,89,"Cross-basin",19.1011235955056
"497",13,89,"Cross-basin",14.6067415730337
"498",17,89,"Cross-basin",19.1011235955056
"499",41,89,"Cross-basin",46.0674157303371
"500",31,89,"Cross-basin",34.8314606741573
"501",35,89,"Cross-basin",39.3258426966292
"502",29,89,"Cross-basin",32.5842696629214
"503",36,89,"Cross-basin",40.4494382022472
"504",37,89,"Cross-basin",41.5730337078652
"505",15,89,"Cross-basin",16.8539325842697
"506",38,89,"Cross-basin",42.6966292134831
"507",19,89,"Cross-basin",21.3483146067416
"508",28,89,"Cross-basin",31.4606741573034
"509",26,89,"Cross-basin",29.2134831460674
"510",20,89,"Cross-basin",22.4719101123595
"511",31,89,"Cross-basin",34.8314606741573
"512",16,89,"Cross-basin",17.9775280898876
"513",40,89,"Cross-basin",44.9438202247191
"514",31,89,"Cross-basin",34.8314606741573
"515",22,89,"Cross-basin",24.7191011235955
"516",17,89,"Cross-basin",19.1011235955056
"517",17,89,"Cross-basin",19.1011235955056
"518",40,89,"Cross-basin",44.9438202247191
"519",28,89,"Cross-basin",31.4606741573034
"520",18,89,"Cross-basin",20.2247191011236
"521",14,89,"Cross-basin",15.7303370786517
"522",8,89,"Cross-basin",8.98876404494382
"523",20,89,"Cross-basin",22.4719101123595
"524",19,89,"Cross-basin",21.3483146067416
"525",12,89,"Cross-basin",13.4831460674157
"526",15,89,"Cross-basin",16.8539325842697
"527",25,89,"Cross-basin",28.0898876404494
"528",24,89,"Cross-basin",26.9662921348315
"529",16,89,"Cross-basin",17.9775280898876
"530",17,89,"Cross-basin",19.1011235955056
"531",17,89,"Cross-basin",19.1011235955056
"532",6,89,"Cross-basin",6.74157303370786
"533",13,89,"Cross-basin",14.6067415730337
"534",19,89,"Cross-basin",21.3483146067416
"535",18,89,"Cross-basin",20.2247191011236
"536",16,89,"Cross-basin",17.9775280898876
"537",28,89,"Cross-basin",31.4606741573034
"538",10,89,"Cross-basin",11.2359550561798
"539",16,89,"Cross-basin",17.9775280898876
"540",14,89,"Cross-basin",15.7303370786517
"541",24,89,"Cross-basin",26.9662921348315
"542",30,89,"Cross-basin",33.7078651685393
"543",24,89,"Cross-basin",26.9662921348315
"544",21,89,"Cross-basin",23.5955056179775
"545",26,89,"Cross-basin",29.2134831460674
"546",20,89,"Cross-basin",22.4719101123595
"547",25,89,"Cross-basin",28.0898876404494
"548",25,89,"Cross-basin",28.0898876404494
"549",29,89,"Cross-basin",32.5842696629214
"550",19,89,"Cross-basin",21.3483146067416
"551",30,89,"Cross-basin",33.7078651685393
"552",32,89,"Cross-basin",35.9550561797753
"553",20,89,"Cross-basin",22.4719101123595
"554",10,89,"Cross-basin",11.2359550561798
"555",33,89,"Cross-basin",37.0786516853933
"556",35,89,"Cross-basin",39.3258426966292
"557",32,89,"Cross-basin",35.9550561797753
"558",33,89,"Cross-basin",37.0786516853933
"559",26,89,"Cross-basin",29.2134831460674
"560",21,89,"Cross-basin",23.5955056179775
"561",30,89,"Cross-basin",33.7078651685393
"562",25,89,"Cross-basin",28.0898876404494
"563",15,89,"Cross-basin",16.8539325842697
"564",5,89,"Cross-basin",5.61797752808989
"565",18,89,"Cross-basin",20.2247191011236
"566",32,89,"Cross-basin",35.9550561797753
"567",34,89,"Cross-basin",38.2022471910112
"568",36,89,"Cross-basin",40.4494382022472
"569",8,89,"Cross-basin",8.98876404494382
"570",37,89,"Cross-basin",41.5730337078652
"571",36,89,"Cross-basin",40.4494382022472
"572",6,89,"Cross-basin",6.74157303370786
"573",22,89,"Cross-basin",24.7191011235955
"574",28,89,"Cross-basin",31.4606741573034
"575",9,89,"Cross-basin",10.1123595505618
"576",29,89,"Cross-basin",32.5842696629214
"577",27,89,"Cross-basin",30.3370786516854
"578",18,89,"Cross-basin",20.2247191011236
"579",18,89,"Cross-basin",20.2247191011236
"580",16,89,"Cross-basin",17.9775280898876
"581",22,89,"Cross-basin",24.7191011235955
"582",31,89,"Cross-basin",34.8314606741573
"583",42,89,"Cross-basin",47.1910112359551
"584",39,89,"Cross-basin",43.8202247191011
"585",35,89,"Cross-basin",39.3258426966292
"586",38,89,"Cross-basin",42.6966292134831
"587",31,89,"Cross-basin",34.8314606741573
"588",37,89,"Cross-basin",41.5730337078652
"589",42,89,"Cross-basin",47.1910112359551
"590",35,89,"Cross-basin",39.3258426966292
"591",37,89,"Cross-basin",41.5730337078652
"592",32,89,"Cross-basin",35.9550561797753
"593",29,89,"Cross-basin",32.5842696629214
"594",24,89,"Cross-basin",26.9662921348315
"595",28,89,"Cross-basin",31.4606741573034
"596",28,89,"Cross-basin",31.4606741573034
"597",27,89,"Cross-basin",30.3370786516854
"598",24,89,"Cross-basin",26.9662921348315
"599",28,89,"Cross-basin",31.4606741573034
"600",24,89,"Cross-basin",26.9662921348315
"601",25,89,"Cross-basin",28.0898876404494
"602",30,89,"Cross-basin",33.7078651685393
"603",32,89,"Cross-basin",35.9550561797753
