Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        2172 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
psi[87]        0.180  0.209   0.011   0.100   0.865 1.00  5221
psi[88]        0.373  0.249   0.057   0.310   0.963 1.00  5947
psi[89]        0.534  0.243   0.131   0.516   0.984 1.00  6857
psi[90]        0.751  0.190   0.321   0.788   0.996 1.00  8277
psi[91]        0.293  0.257   0.019   0.206   0.946 1.00  5620
psi[92]        0.500  0.247   0.112   0.471   0.982 1.00  6548
psi[93]        0.717  0.203   0.278   0.749   0.995 1.00  7853
psi[94]        0.812  0.165   0.401   0.858   0.998 1.00  8599
psi[95]        0.193  0.215   0.012   0.110   0.879 1.00  5256
psi[96]        0.720  0.212   0.249   0.761   0.996 1.00  7229
psi[97]        0.873  0.132   0.513   0.918   0.999 1.00  8957
psi[98]        0.256  0.235   0.022   0.173   0.926 1.00  5486
psi[99]        0.390  0.251   0.060   0.331   0.967 1.00  5911
psi[100]       0.760  0.188   0.327   0.800   0.997 1.00  7975
psi[101]       0.259  0.236   0.022   0.176   0.929 1.00  5512
psi[102]       0.775  0.180   0.348   0.817   0.997 1.00  8462
psi[103]       0.645  0.226   0.197   0.665   0.992 1.00  7161
psi[104]       0.066  0.147   0.000   0.013   0.589 1.00  3498
psi[105]       0.074  0.154   0.000   0.017   0.625 1.00  3440
psi[106]       0.080  0.160   0.000   0.019   0.650 1.00  3413
psi[107]       0.088  0.169   0.000   0.021   0.699 1.00  3482
psi[108]       0.104  0.184   0.000   0.029   0.758 1.00  3451
psi[109]       0.123  0.198   0.000   0.039   0.802 1.00  3479
psi[110]       0.139  0.209   0.000   0.049   0.835 1.00  3540
psi[111]       0.144  0.211   0.000   0.053   0.836 1.00  3556
psi[112]       0.136  0.204   0.000   0.049   0.814 1.00  3468
psi[113]       0.119  0.191   0.000   0.040   0.772 1.00  3372
psi[114]       0.100  0.175   0.000   0.030   0.709 1.00  3301
psi[115]       0.106  0.179   0.000   0.034   0.722 1.00  3319
psi[116]       0.131  0.199   0.000   0.048   0.792 1.00  3397
psi[117]       0.074  0.148   0.000   0.020   0.583 1.00  3380
psi[118]       0.069  0.143   0.000   0.018   0.562 1.00  3337
psi[119]       0.070  0.144   0.000   0.018   0.565 1.00  3369
psi[120]       0.075  0.150   0.000   0.020   0.590 1.00  3414
psi[121]       0.077  0.154   0.000   0.020   0.609 1.00  3308
psi[122]       0.093  0.168   0.000   0.027   0.681 1.00  3345
psi[123]       0.134  0.201   0.000   0.049   0.802 1.00  3421
psi[124]       0.171  0.226   0.001   0.075   0.868 1.00  3691
psi[125]       0.207  0.246   0.001   0.105   0.906 1.00  3991
psi[126]       0.285  0.278   0.002   0.187   0.945 1.00  4096
psi[127]       0.202  0.244   0.001   0.098   0.903 1.00  3761
psi[128]       0.201  0.257   0.001   0.083   0.925 1.00  4170
psi[129]       0.280  0.301   0.001   0.148   0.972 1.00  4918
psi[130]       0.088  0.160   0.000   0.027   0.639 1.00  3397
psi[131]       0.092  0.165   0.000   0.029   0.656 1.00  3520
psi[132]       0.091  0.164   0.000   0.028   0.656 1.00  3499
psi[133]       0.091  0.165   0.000   0.028   0.664 1.00  3489
psi[134]       0.096  0.168   0.000   0.030   0.672 1.00  3476
psi[135]       0.119  0.186   0.000   0.043   0.748 1.00  3540
psi[136]       0.145  0.206   0.001   0.060   0.817 1.00  3622
psi[137]       0.164  0.219   0.001   0.073   0.852 1.00  3709
psi[138]       0.209  0.243   0.001   0.111   0.899 1.00  3923
psi[139]       0.256  0.263   0.002   0.158   0.928 1.00  4120
psi[140]       0.300  0.279   0.002   0.208   0.949 1.00  4363
psi[141]       0.354  0.296   0.004   0.281   0.967 1.00  4625
psi[142]       0.416  0.326   0.003   0.357   0.986 1.00  5062
psi[143]       0.834  0.247   0.092   0.955   1.000 1.00  8394
psi[144]       0.713  0.304   0.031   0.843   0.999 1.00  6845
psi[145]       0.579  0.246   0.140   0.578   0.987 1.00  4376
psi[146]       0.803  0.171   0.382   0.849   0.998 1.00  4838
psi[147]       0.570  0.247   0.136   0.565   0.987 1.00  4266
psi[148]       0.574  0.248   0.136   0.569   0.987 1.00  4342
psi[149]       0.867  0.126   0.537   0.904   0.998 1.00  5689
psi[150]       0.559  0.248   0.129   0.551   0.985 1.00  4345
psi[151]       0.607  0.233   0.182   0.608   0.989 1.00  4381
psi[152]       0.715  0.208   0.263   0.748   0.994 1.00  4578
psi[153]       0.560  0.246   0.134   0.550   0.985 1.00  4311
psi[154]       0.821  0.153   0.442   0.861   0.998 1.00  5114
psi[155]       0.731  0.194   0.310   0.760   0.995 1.00  4814
psi[156]       0.677  0.210   0.255   0.694   0.993 1.00  4969
psi[157]       0.660  0.208   0.257   0.669   0.991 1.00  4986
psi[158]       0.633  0.211   0.240   0.632   0.988 1.00  4963
psi[159]       0.617  0.213   0.228   0.611   0.987 1.00  5090
psi[160]       0.618  0.213   0.229   0.613   0.987 1.00  5085
psi[161]       0.610  0.220   0.213   0.605   0.987 1.00  5014
psi[162]       0.623  0.218   0.224   0.622   0.989 1.00  4948
psi[163]       0.636  0.202   0.254   0.638   0.986 1.00  6341
psi[164]       0.554  0.236   0.144   0.544   0.981 1.00  6151
psi[165]       0.518  0.224   0.161   0.491   0.975 1.00  6474
psi[166]       0.642  0.203   0.253   0.646   0.987 1.00  6091
psi[167]       0.856  0.120   0.551   0.885   0.997 1.00  7502
psi[168]       0.571  0.215   0.201   0.556   0.980 1.00  6815
psi[169]       0.609  0.202   0.251   0.601   0.983 1.00  6127
psi[170]       0.712  0.178   0.345   0.727   0.991 1.00  6733
psi[171]       0.773  0.156   0.423   0.795   0.994 1.00  7149
psi[172]       0.565  0.214   0.201   0.547   0.979 1.00  6351
psi[173]       0.560  0.226   0.182   0.540   0.982 1.00  5049
psi[174]       0.606  0.202   0.250   0.595   0.983 1.00  6228
psi[175]       0.685  0.183   0.322   0.692   0.989 1.00  6568
psi[176]       0.641  0.196   0.272   0.641   0.985 1.00  7271
psi[177]       0.507  0.222   0.159   0.477   0.972 1.00  6319
psi[178]       0.572  0.223   0.191   0.555   0.983 1.00  5138
psi[179]       0.625  0.196   0.271   0.619   0.984 1.00  6347
psi[180]       0.604  0.204   0.239   0.596   0.982 1.00  7719
psi[181]       0.540  0.219   0.176   0.519   0.976 1.00  7089
psi[182]       0.543  0.231   0.164   0.519   0.981 1.00  4948
psi[183]       0.628  0.208   0.247   0.622   0.987 1.00  5062
psi[184]       0.519  0.215   0.181   0.490   0.972 1.00  6582
psi[185]       0.457  0.223   0.132   0.417   0.962 1.00  7314
psi[186]       0.439  0.226   0.116   0.394   0.959 1.00  7337
