"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"529",529,"psi",0.104309754459599,0.0517040642243384,0.206980501916296,0.5,"median","qi","-155.812_20.271"
"530",530,"psi",0.310732799812633,0.182113375014804,0.516435152898632,0.5,"median","qi","-155.854_19.021"
"531",531,"psi",0.705448500563487,0.507963538743051,0.856738373245753,0.5,"median","qi","-155.854_19.938"
"532",532,"psi",0.355137111183406,0.200883758569996,0.566835196799725,0.5,"median","qi","-155.854_19.979"
"533",533,"psi",0.40589395361378,0.265555394321185,0.590196912112866,0.5,"median","qi","-155.854_20.021"
"534",534,"psi",0.458743122116883,0.30221344259801,0.659974609209864,0.5,"median","qi","-155.854_20.062"
"535",535,"psi",0.13201204365044,0.0678973424127957,0.255105044214886,0.5,"median","qi","-155.854_20.271"
"536",536,"psi",0.302694020179503,0.189018338293461,0.475741331403373,0.5,"median","qi","-155.896_19.062"
"537",537,"psi",0.267395941718873,0.148681368101621,0.463108633720007,0.5,"median","qi","-155.896_19.104"
"538",538,"psi",0.189990521092686,0.102418612194024,0.348628355461083,0.5,"median","qi","-155.896_19.146"
"539",539,"psi",0.305024344555944,0.178675238165772,0.500889219043334,0.5,"median","qi","-155.896_19.188"
"540",540,"psi",0.327741921962232,0.199050959981106,0.52654004682631,0.5,"median","qi","-155.896_19.229"
"541",541,"psi",0.350952583970837,0.205587779947619,0.568392135090149,0.5,"median","qi","-155.896_19.271"
"542",542,"psi",0.412158839951609,0.234366916907042,0.645934326344205,0.5,"median","qi","-155.896_19.312"
"543",543,"psi",0.406941321618979,0.238765334033528,0.63482375106043,0.5,"median","qi","-155.896_19.354"
"544",544,"psi",0.505140399345597,0.273467272968696,0.765186342707119,0.5,"median","qi","-155.896_19.396"
"545",545,"psi",0.20516635963654,0.105150618092064,0.379465293228134,0.5,"median","qi","-155.896_19.438"
"546",546,"psi",0.399387224674972,0.235138409610238,0.609719945150312,0.5,"median","qi","-155.896_19.896"
"547",547,"psi",0.397469552648104,0.247825145381368,0.589935384192163,0.5,"median","qi","-155.896_19.938"
"548",548,"psi",0.276838483418829,0.153252144429715,0.471337839054006,0.5,"median","qi","-155.896_20.104"
"549",549,"psi",0.221334756789574,0.124535348157464,0.386808641086283,0.5,"median","qi","-155.896_20.146"
"550",550,"psi",0.2055187886369,0.111100338700149,0.367597042041913,0.5,"median","qi","-155.896_20.229"
"551",551,"psi",0.273400916700578,0.164476316638958,0.44695706281839,0.5,"median","qi","-155.938_19.104"
"552",552,"psi",0.200800271205737,0.104319518347543,0.366450507389198,0.5,"median","qi","-155.938_19.146"
"553",553,"psi",0.498734332413898,0.267293704916133,0.761806688644996,0.5,"median","qi","-155.938_19.438"
"554",554,"psi",0.332498161618989,0.196543810066154,0.539271554790443,0.5,"median","qi","-155.938_19.479"
"555",555,"psi",0.254132302422735,0.149085190435992,0.420412561998211,0.5,"median","qi","-155.938_19.521"
"556",556,"psi",0.459748321500003,0.310409324525232,0.641112680626946,0.5,"median","qi","-155.938_19.854"
"557",557,"psi",0.330334265167385,0.207483896267772,0.515373529541692,0.5,"median","qi","-155.979_19.562"
"558",558,"psi",0.344999695521935,0.211733644188423,0.530164949421101,0.5,"median","qi","-155.979_19.604"
"559",559,"psi",0.451784625530212,0.301057833525558,0.6454266440289,0.5,"median","qi","-155.979_19.854"
"560",560,"psi",0.295876023766037,0.169729223325939,0.488524972688062,0.5,"median","qi","-156.021_19.646"
"561",561,"psi",0.377626337250965,0.23008362262188,0.576244603741829,0.5,"median","qi","-156.021_19.688"
"562",562,"psi",0.61129901947275,0.417593231018514,0.801081679076345,0.5,"median","qi","-156.021_19.812"
"563",563,"psi",0.246387037642168,0.138143367718768,0.421757686279797,0.5,"median","qi","-156.062_19.688"
"564",564,"psi",0.410373606489066,0.266519995850086,0.61431688228396,0.5,"median","qi","-156.062_19.729"
